longitude,latitude,avgT,stdT,avgA,stdA,avgB,stdB,avgC,stdC,avgT,stdT,avgX,stdX,avgY,stdY,avgZ,stdZ
-84.4213867188,-172.663574219,50141.8,0.748331477355,332.1,3.44818792991,407.8,18.6053755673,492.4,2.0591260282,36195.3,18741.2224471,528.8,11.6858889264,735.5,2.29128784748,491.1,10.5304320899
-84.4213867188,-165.295410156,50127.7,0.781024967591,332.2,8.96437393241,415.8,9.46361453146,493.4,3.77359245282,31483.9,20005.3967541,523.6,9.15641851381,732.7,6.97208720542,491.3,16.935465745
-84.4213867188,-157.954101562,50114.0,0.774596669241,332.5,4.60977222865,410.3,19.4270430071,492.9,1.86815416923,36759.3,18171.4124605,519.8,11.3648581161,735.4,3.26190128606,493.6,12.5952371951
-84.4213867188,-150.598144531,50100.2,0.748331477355,332.1,6.44127316608,413.5,10.4235310716,493.9,3.67287353444,37473.3,18168.3094869,515.7,9.65453261427,735.3,3.92555728528,495.7,8.71837140755
-84.4213867188,-143.293457031,50085.3,0.640312423743,333.5,5.5722526863,351.6,54.9385110828,492.5,2.24722050542,34175.7,18729.7000726,509.8,10.5147515425,733.6,5.91945943478,504.1,18.0800995572
-84.4213867188,-135.930175781,50073.7,0.640312423743,333.1,5.52177507691,411.0,13.2438665049,493.6,3.61109401705,29692.3,18743.4049417,508.9,6.59469483752,733.8,4.89489530021,502.8,14.3373637744
-84.4213867188,-128.552246094,50059.9,0.7,332.7,2.36854385647,414.6,3.85227205685,492.5,2.20227155455,30375.7,18179.3634655,507.0,4.21900462195,733.4,2.87054001888,504.5,4.27200187266
-84.4213867188,-121.208496094,50046.7,0.640312423743,332.2,3.81575680567,409.6,14.150618361,493.8,4.06939798988,33413.4,18741.4256032,506.5,6.5306967469,732.7,2.41039415864,507.7,8.532877592
-84.4213867188,-113.884277344,50034.0,0.774596669241,332.2,1.53622914957,411.4,10.4995237987,493.2,3.84187454246,31474.2,18534.9591518,501.2,6.01331855135,735.3,2.64764045897,512.8,6.3843558798
-84.4213867188,-106.525878906,50019.8,0.748331477355,333.7,3.57910603363,388.5,31.3153317083,493.2,3.4292856399,30460.7,18807.8802317,498.5,8.86848352313,734.4,4.49888875168,522.2,12.7263506159
-84.4213867188,-99.2211914062,50006.0,0.774596669241,334.2,3.37045990927,361.3,50.2912517243,492.9,2.38537208838,37651.4,17958.4854606,493.1,13.5606047063,735.6,4.9638694584,529.9,14.0815482103
-84.4213867188,-91.8090820312,49993.9,0.7,332.2,0.6,415.3,0.9,493.2,2.27156333832,29955.4,18813.6390536,500.4,4.05462698654,734.5,2.06155281281,523.7,2.45153013443
-84.4213867188,-84.4897460938,49979.1,0.7,332.2,1.46969384567,415.6,4.63033476112,493.6,3.74699879904,34479.7,18412.0129049,500.2,6.83812839891,733.4,2.28910462845,528.7,4.02616442784
-84.4213867188,-77.1655273438,49965.9,0.7,333.0,1.788854382,402.7,18.2814113241,492.9,2.80891438104,30910.8,18128.6043191,498.3,6.6790717918,735.2,3.45832329316,536.7,7.29451848993
-84.4213867188,-69.7998046875,49952.1,0.7,331.4,3.63868107973,397.0,23.1257432313,493.7,3.60693775937,31643.7,18150.2129357,497.2,11.0254251619,731.6,7.00285656,541.1,12.4695629434
-84.4213867188,-62.4633789062,49939.8,0.748331477355,332.1,2.4269322199,412.4,7.29657453878,493.6,3.29241552663,31384.3,18948.6797854,505.5,5.59016994375,734.5,4.47772263545,541.4,4.05462698654
-84.4213867188,-55.1293945312,49926.9,0.7,331.5,4.56618002273,399.7,21.8084845874,493.8,3.6,28654.1,18179.9616636,507.8,12.1391927244,734.2,4.4226688775,545.6,13.7491817938
-84.4213867188,-47.734375,49914.3,0.640312423743,332.6,3.58329457343,406.2,19.3225257148,493.9,4.32319326424,34165.8,18706.712345,510.2,10.6564534438,733.8,4.79165942028,550.1,9.36429388689
-84.4213867188,-40.4125976562,49901.6,0.663324958071,333.2,6.93974062916,410.2,13.5558105623,493.5,3.23264597505,32216.2,19533.6146466,512.3,12.5781556677,734.0,3.25576411922,555.2,11.5568161706
-84.4213867188,-33.0981445312,49888.0,0.774596669241,331.8,5.74108003776,415.9,6.68505796534,494.4,4.07921561087,33607.0,18414.5537062,518.0,9.35948716544,733.3,5.42309874518,552.4,8.8
-84.4213867188,-25.7299804688,49874.4,0.916515138991,332.3,1.95192212959,401.5,18.7683243791,492.5,2.29128784748,34893.0,18523.9349006,520.7,4.60543157587,731.4,4.47660585712,557.6,4.77912125814
-84.4213867188,-18.3837890625,49861.5,0.5,332.2,2.4,415.3,3.60693775937,492.6,1.8,32191.8,19828.6171873,524.7,3.49428104193,733.1,3.23882694814,556.2,5.65331761004
-84.4213867188,-11.0180664062,49845.6,0.663324958071,333.5,8.80056816348,410.5,14.6441114445,492.9,1.75783958312,31425.7,19533.9117539,529.3,8.71837140755,732.8,7.27736215946,561.1,14.8623685865
-84.4213867188,-3.671875,49831.1,0.7,332.6,4.73708771293,407.6,13.5513836932,494.7,4.17252920901,36179.3,17956.0684452,532.1,4.06078810085,732.8,5.79309934318,559.5,7.87718223732
-84.4213867188,3.662109375,49817.8,0.748331477355,332.4,4.73708771293,400.0,21.2696967538,493.7,3.68917334914,31590.6,18708.9156939,534.9,9.82293235241,733.1,6.47224845011,560.5,9.83107318659
-84.4213867188,11.0009765625,49804.8,0.748331477355,332.1,6.57951365984,392.1,31.104501282,493.1,2.11896201004,29894.5,16761.2561895,538.9,12.5574678976,732.9,5.37494186015,562.7,9.2633687177
-84.4213867188,18.3618164062,49791.7,0.640312423743,332.9,7.28628849278,376.9,45.1141884555,492.8,2.22710574513,31937.8,18739.1641745,541.8,19.8232187094,730.7,7.64264352171,562.7,25.1318522994
-84.4213867188,25.7348632812,49779.4,0.663324958071,332.5,1.8574175621,413.2,6.1611687203,493.2,2.03960780544,38116.5,18752.0357042,550.1,4.74236228055,733.5,3.17017349683,555.4,3.8
-84.4213867188,33.037109375,49766.5,0.5,333.1,5.06853035899,410.4,14.91442255,493.1,1.97230829233,35428.2,19679.7882194,554.4,7.17216843082,731.9,7.1477269114,554.7,13.0617762957
-84.4213867188,40.3784179688,49753.5,0.5,333.4,8.55803715813,331.1,54.9680816474,493.6,3.29241552663,32692.0,19662.0188587,552.3,17.1,730.3,18.6550261324,554.8,25.2222124327
-84.4213867188,47.763671875,49741.9,0.7,332.9,3.11287648325,409.4,13.6762567978,493.2,3.76297754445,28143.2,18132.160317,559.7,8.55628424025,733.6,3.69323706252,545.9,10.7745069493
-84.4213867188,55.1220703125,49727.0,0.774596669241,331.2,6.88186021363,414.6,5.2,494.5,4.45533388199,31376.1,18408.0747741,562.9,3.47706773014,734.6,7.64460594145,541.4,10.660206377
-84.4213867188,62.4658203125,49713.2,0.748331477355,332.5,5.59016994375,414.1,8.01810451416,493.1,2.4269322199,31994.2,18682.4693111,563.6,9.11262859992,732.2,5.09509568114,540.2,9.74474217206
-84.4213867188,69.8046875,49700.5,0.5,332.6,5.60713830755,404.3,21.1756936132,492.9,2.46779253585,29996.7,19828.1199616,563.2,7.35934779719,734.3,6.78306715284,539.1,13.641480858
-84.4213867188,77.1264648438,49686.3,0.640312423743,332.0,3.46410161514,409.4,15.0146595033,494.6,4.63033476112,27654.3,17470.1574466,564.2,9.24986486388,734.4,6.2,532.1,8.27586853448
-84.4213867188,84.4921875,49672.3,0.640312423743,332.5,4.80104155366,405.9,21.8011467588,493.3,2.53179778023,35351.4,18913.1588911,568.2,14.6273716026,734.5,6.42261628933,525.2,11.9146968069
-84.4213867188,91.8530273438,49659.5,0.5,333.0,6.260990337,367.7,47.5058943711,493.1,2.34307490277,33374.5,19815.1497862,562.6,15.9386323127,733.4,8.73155198118,527.8,18.7445992222
-84.4213867188,99.1918945312,49647.0,0.774596669241,332.1,2.87923600978,411.8,9.64157663456,493.4,2.2,32278.5,18586.2640531,568.5,8.66314030823,738.8,6.28967407741,517.2,6.89637585983
-84.4213867188,106.552734375,49632.6,0.663324958071,331.6,5.57135531087,416.2,7.37292343647,494.5,4.27200187266,30587.3,19677.3391191,567.0,9.17605579756,733.2,3.6,510.9,12.1692234756
