longitude; latitude; x; y; z;
-70.833333; -112.959184; 585.571429; 412.193548; 418.029412;
-70.833333; -107.448980; 588.764706; 420.625000; 417.147059;
-70.833333; -101.938776; 587.967742; 425.617647; 413.285714;
-70.833333; -96.428571; 590.484848; 414.371429; 411.593750;
-70.833333; -90.918367; 587.562500; 360.647059; 406.235294;
-70.833333; -85.408163; 590.457143; 182.393939; 401.875000;
-70.833333; -79.897959; 592.400000; 132.400000; 396.866667;
-70.833333; -74.387755; 589.542857; 134.290323; 399.000000;
-70.833333; -68.877551; 588.031250; 256.393939; 390.657143;
-70.833333; -63.367347; 590.941176; 425.571429; 387.258065;
-70.833333; -57.857143; 588.685714; 428.062500; 387.757576;
-70.833333; -52.346939; 589.322581; 423.647059; 380.714286;
-70.833333; -46.836735; 591.973684; 417.741935; 376.032258;
-70.833333; -41.326531; 589.647059; 423.290323; 375.542857;
-70.833333; -35.816327; 592.218750; 418.971429; 370.878788;
-70.833333; -30.306122; 593.181818; 416.088235; 366.242424;
-70.833333; -24.795918; 589.303030; 419.088235; 364.878788;
-70.833333; -19.285714; 584.558824; 387.228571; 360.806452;
-70.833333; -13.775510; 583.363636; 347.000000; 360.225806;
-70.833333; -8.265306; 580.424242; 355.375000; 360.914286;
-70.833333; -2.755102; 580.060606; 342.875000; 365.228571;
-70.833333; 2.755102; 584.096774; 344.914286; 369.588235;
-70.833333; 8.265306; 584.457143; 338.548387; 373.941176;
-70.833333; 13.775510; 581.310345; 338.371429; 380.861111;
-70.833333; 19.285714; 581.437500; 277.969697; 386.857143;
-70.833333; 24.795918; 582.028571; 134.878788; 390.750000;
-70.833333; 30.306122; 583.787879; 121.906250; 396.142857;
-70.833333; 35.816327; 580.857143; 123.290323; 401.323529;
-70.833333; 41.326531; 581.300000; 130.564103; 405.677419;
-70.833333; 46.836735; 580.971429; 122.718750; 410.303030;
-70.833333; 52.346939; 582.266667; 117.029412; 411.111111;
-70.833333; 57.857143; 581.030303; 122.800000; 416.750000;
-70.833333; 63.367347; 581.882353; 125.000000; 423.516129;
-70.833333; 68.877551; 581.000000; 118.562500; 425.852941;
-70.833333; 74.387755; 583.129032; 128.028571; 431.000000;
-70.833333; 79.897959; 583.484848; 120.147059; 432.636364;
-70.833333; 85.408163; 582.085714; 125.363636; 434.656250;
-70.833333; 90.918367; 580.485714; 123.566667; 439.885714;
-70.833333; 96.428571; 582.218750; 138.000000; 441.085714;
-70.833333; 101.938776; 581.030303; 129.441176; 447.060606;
-70.833333; 107.448980; 579.714286; 123.657143; 444.533333;
-70.833333; 112.959184; 580.735294; 173.166667; 444.500000;
-70.833333; 118.469388; 584.187500; 345.470588; 443.705882;
-70.833333; 123.979592; 584.312500; 395.457143; 446.848485;
-70.833333; 129.489796; 583.088235; 265.228571; 445.290323;
-70.833333; 135.000000; 584.060606; 163.562500; 445.342857;
-66.041667; -135.000000; 585.125000; 182.028571; 440.515152;
-66.041667; -129.489796; 585.552632; 346.733333; 437.750000;
-66.041667; -123.979592; 585.250000; 414.781250; 437.843750;
-66.041667; -118.469388; 584.033333; 418.941176; 428.416667;
-66.041667; -112.959184; 587.514286; 430.055556; 432.379310;
-66.041667; -107.448980; 584.878788; 427.781250; 424.200000;
-66.041667; -101.938776; 585.906250; 428.628571; 420.151515;
-66.041667; -96.428571; 584.593750; 429.823529; 417.117647;
-66.041667; -90.918367; 585.718750; 433.000000; 415.606061;
-66.041667; -85.408163; 585.281250; 333.000000; 406.757576;
-66.041667; -79.897959; 586.542857; 135.588235; 405.032258;
-66.041667; -74.387755; 585.200000; 135.882353; 399.838710;
