longitude; latitude; avgY; stdY; avgX; stdX; avgZ; stdZ; 
2.777778; 2.777778; 641.260000; 80.760479; 718.060000; 24.460572; 1008.000000; 15.904386;
2.777778; 3.888889; 639.460000; 43.344852; 725.410000; 22.356657; 1008.420000; 16.739345;
2.777778; 5.000000; 637.860000; 49.714136; 731.060000; 24.369968; 1005.090000; 18.462681;
3.888889; -5.000000; 631.130000; 107.420786; 675.770000; 22.899365; 1008.970000; 16.158592;
3.888889; -3.888889; 636.770000; 77.811720; 681.300000; 22.114258; 1004.690000; 18.062012;
3.888889; -2.777778; 634.480000; 83.435511; 685.720000; 25.043026; 1008.130000; 16.637948;
3.888889; -1.666667; 636.430000; 73.289692; 692.370000; 26.033256; 1006.110000; 16.519285;
3.888889; -0.555556; 636.150000; 67.205906; 700.300000; 24.965228; 1008.550000; 16.935633;
3.888889; 0.555556; 635.100000; 89.639964; 706.980000; 23.935933; 1006.310000; 16.565569;
3.888889; 1.666667; 641.020000; 81.717669; 709.340000; 26.523944; 1005.130000; 17.964980;
3.888889; 2.777778; 643.040000; 52.158639; 721.610000; 25.055855; 1006.690000; 16.960855;
3.888889; 3.888889; 633.930000; 106.911108; 726.050000; 27.120150; 1007.610000; 16.895337;
3.888889; 5.000000; 640.060000; 94.782880; 730.290000; 22.847008; 1008.020000; 16.411366;
5.000000; -5.000000; 638.390000; 106.592388; 677.290000; 27.627864; 1004.940000; 16.937687;
5.000000; -3.888889; 639.870000; 69.246690; 680.310000; 23.433420; 1008.370000; 16.559446;
5.000000; -2.777778; 635.050000; 77.404927; 689.360000; 27.218354; 1006.120000; 17.482621;
5.000000; -1.666667; 653.060000; 50.826069; 693.940000; 23.827588; 1005.390000; 18.201396;
5.000000; -0.555556; 646.560000; 58.776811; 700.050000; 24.975291; 1011.410000; 15.921585;
5.000000; 0.555556; 644.370000; 76.331766; 705.770000; 27.842216; 1006.960000; 17.633141;
5.000000; 1.666667; 642.230000; 25.158028; 714.960000; 25.466921; 1007.170000; 16.820535;
5.000000; 2.777778; 647.530000; 96.340983; 721.610000; 23.671103; 1008.900000; 16.913028;
5.000000; 3.888889; 646.060000; 96.701960; 723.470000; 26.202188; 1007.140000; 17.568348;
5.000000; 5.000000; 644.820000; 59.824048; 731.360000; 25.588239; 1004.980000; 17.762735;
